Artist,Album,Genre,Release Date,Listened On,Favorite Songs,Rating,Tags,,,,,,,,,
Chappell Roan,The Rise and Fall of a Midwest Princess,Dance Pop,9/22/2023,12/11/2023,"Red Wine Supernova, Femininomenon, Casual",6,New, ,,,,,,,,
Superbloom,Life's a Blur,"Grunge, Shoegaze",6/8/2023,12/13/2023,"Pig, Head First, Daisy",4.5,New, ,,,,,,,,
Bombay Bicycle Club,My Big Day,Indie Pop,10/20/2023,12/14/2023,"My Big Day, Heaven, Onward",5,New, ,,,,,,,,
Jungle,Volcano,"Funk, Disco",8/11/2023,12/15/2023,"Candle Flame, I've Been In Love, Back On 74",6,New, ,,,,,,,,
Jane Remover,Census Designated,Shoegaze,8/20/2023,12/18/2023,"Backseat Girl, Cage Girl / Camgirl, Video",7,New, ,,,,,,,,
Model/Actriz,Dogsbody,Noise Rock,2/24/2023,12/19/2023,"Donkey Show, Mosquito, Crossing Guard",3.5,New, ,,,,,,,,
George Clanton,Ooh Rap I Ya,"Dream Pop, Psychedelia",7/28/2023,12/21/2023,"Everything I Want, I Been Young, Punching Down",5.5,New, ,,,,,,,,
Amaarae,Fountain Baby,"Alt A&B, Pop",6/9/2023,12/26/2023,"Angels in Tibet, Disguise, Reckless & Sweet",,New, ,,,,,,,,
feeble little horse,Girl with Fish,"Noise Pop, Shoegaze",6/9/2023,12/27/2023,"Paces, Station, Freak",,New, ,,,,,,,,
"Black Country, New Road",Live at Bush Hall,Art Rock,3/24/2023,12/28/2023,"Turbines/Pigs, Up Song, Laughing Song",,New, ,,,,,,,,
